Id,v2a1,hacdor,rooms,hacapo,v14a,refrig,v18q,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,escolari,rez_esc,hhsize,paredblolad,paredzocalo,paredpreb,pareddes,paredmad,paredzinc,paredfibras,paredother,pisomoscer,pisocemento,pisoother,pisonatur,pisonotiene,pisomadera,techozinc,techoentrepiso,techocane,techootro,cielorazo,abastaguadentro,abastaguafuera,abastaguano,public,planpri,noelec,coopele,sanitario1,sanitario2,sanitario3,sanitario5,sanitario6,energcocinar1,energcocinar2,energcocinar3,energcocinar4,elimbasu1,elimbasu2,elimbasu3,elimbasu4,elimbasu5,elimbasu6,epared1,epared2,epared3,etecho1,etecho2,etecho3,eviv1,eviv2,eviv3,dis,male,female,estadocivil1,estadocivil2,estadocivil3,estadocivil4,estadocivil5,estadocivil6,estadocivil7,parentesco1,parentesco2,parentesco3,parentesco4,parentesco5,parentesco6,parentesco7,parentesco8,parentesco9,parentesco10,parentesco11,parentesco12,idhogar,hogar_nin,hogar_adul,hogar_mayor,hogar_total,dependency,edjefe,edjefa,meaneduc,instlevel1,instlevel2,instlevel3,instlevel4,instlevel5,instlevel6,instlevel7,instlevel8,instlevel9,bedrooms,overcrowding,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,computer,television,mobilephone,qmobilephone,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,area1,area2,age,SQBescolari,SQBage,SQBhogar_total,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBdependency,SQBmeaned,agesq
ID_247909995,90000,0,5,0,1,1,0,,0,1,1,0,2,2,0,3,3,3,3,10,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,a499b6c30,1,2,0,3,0.5,no,15,17,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,1,1,3,1,0,0,0,0,0,1,0,18,100,324,9,0,1,1,0.25,289,324
ID_fbe8d0909,90000,0,5,0,1,1,0,,0,1,1,0,2,2,0,3,3,3,3,9,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,a499b6c30,1,2,0,3,0.5,no,15,17,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,1,1,3,1,0,0,0,0,0,1,0,55,81,3025,9,0,1,1,0.25,289,3025
ID_8ed30c46a,90000,0,5,0,1,1,0,,0,1,1,0,2,2,0,3,3,3,3,15,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a499b6c30,1,2,0,3,0.5,no,15,17,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,1,1,1,3,1,0,0,0,0,0,1,0,53,225,2809,9,0,1,1,0.25,289,2809
ID_c8809fe15,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,10,,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,51,100,2601,36,100,4,4,0.25,110.25,2601
ID_b726eb052,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,11,,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,52,121,2704,36,100,4,4,0.25,110.25,2704
ID_3533dffe1,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,9,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,15,81,225,36,100,4,4,0.25,110.25,225
ID_67a331b9f,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,9,,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,22,81,484,36,100,4,4,0.25,110.25,484
ID_67c4a6bb6,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,12,,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,21,144,441,36,100,4,4,0.25,110.25,441
ID_8228c6a2e,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,10,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,17,100,289,36,100,4,4,0.25,110.25,289
ID_d54f1a82e,240000,0,6,0,1,1,0,,0,3,3,0,0,0,0,3,3,3,3,9,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ba1262b51,0,3,0,3,no,6,no,8,0,0,0,1,0,0,0,0,0,4,0.75,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,27,81,729,9,36,0,0.5625,0,64,729
ID_a39d40b54,240000,0,6,0,1,1,0,,0,3,3,0,0,0,0,3,3,3,3,9,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ba1262b51,0,3,0,3,no,6,no,8,0,0,0,1,0,0,0,0,0,4,0.75,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,45,81,2025,9,36,0,0.5625,0,64,2025
ID_748724edb,240000,0,6,0,1,1,0,,0,3,3,0,0,0,0,3,3,3,3,6,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ba1262b51,0,3,0,3,no,6,no,8,0,0,1,0,0,0,0,0,0,4,0.75,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,32,36,1024,9,36,0,0.5625,0,64,1024
ID_8be4c9bbf,,0,5,0,1,1,0,,0,0,0,0,2,2,0,2,2,2,2,13,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,d5a0a19d8,0,2,1,2,yes,no,9,11,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,0,25,169,625,4,0,0,1,1,121,625
ID_7bade887b,,0,5,0,1,1,0,,0,0,0,0,2,2,0,2,2,2,2,9,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,d5a0a19d8,0,2,1,2,yes,no,9,11,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,0,66,81,4356,4,0,0,1,1,121,4356
ID_13f752d2b,210000,0,5,0,1,1,1,2,0,1,1,2,1,3,2,2,4,4,4,0,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23eb5e435,2,2,0,4,yes,11,no,11,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,3,0,9,16,121,4,4,1,121,9
ID_a9bff86ae,210000,0,5,0,1,1,1,2,0,1,1,2,1,3,2,2,4,4,4,11,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23eb5e435,2,2,0,4,yes,11,no,11,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,33,121,1089,16,121,4,4,1,121,1089
ID_04d3ee180,210000,0,5,0,1,1,1,2,0,1,1,2,1,3,2,2,4,4,4,11,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23eb5e435,2,2,0,4,yes,11,no,11,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,30,121,900,16,121,4,4,1,121,900
ID_47e48cb8f,210000,0,5,0,1,1,1,2,0,1,1,2,1,3,2,2,4,4,4,0,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23eb5e435,2,2,0,4,yes,11,no,11,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,6,0,36,16,121,4,4,1,121,36
ID_1615bc9ef,,0,8,0,1,1,1,1,0,2,2,0,1,1,0,3,3,3,6,7,,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8f4413ade,0,3,1,3,0.5,8,no,8.666667,0,0,0,1,0,0,0,0,0,5,1.2,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,1,0,27,49,729,9,64,0,1.4400001,0.25,75.111115,729
ID_3bb0b62f1,,0,8,0,1,1,1,1,0,2,2,0,1,1,0,3,3,3,6,8,,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8f4413ade,0,3,1,3,0.5,8,no,8.666667,0,0,0,1,0,0,0,0,0,5,1.2,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,1,0,78,64,6084,9,64,0,1.4400001,0.25,75.111115,6084
ID_033b1af6b,,0,8,0,1,1,1,1,0,2,2,0,1,1,0,3,3,3,6,11,,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8f4413ade,0,3,1,3,0.5,8,no,8.666667,0,0,0,0,1,0,0,0,0,5,1.2,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,1,0,62,121,3844,9,64,0,1.4400001,0.25,75.111115,3844
ID_454a8860e,,0,8,0,1,1,1,1,0,1,1,0,2,2,0,3,3,3,6,11,,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,304cd179b,0,3,0,3,no,13,no,11.333333,0,0,0,0,1,0,0,0,0,5,1.2,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,1,0,20,121,400,9,169,0,1.4400001,0,128.44444,400
ID_d83fd7394,,0,8,0,1,1,1,1,0,1,1,0,2,2,0,3,3,3,6,10,,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,304cd179b,0,3,0,3,no,13,no,11.333333,0,0,0,1,0,0,0,0,0,5,1.2,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,1,0,41,100,1681,9,169,0,1.4400001,0,128.44444,1681
ID_34d7d842b,,0,8,0,1,1,1,1,0,1,1,0,2,2,0,3,3,3,6,13,,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,304cd179b,0,3,0,3,no,13,no,11.333333,0,0,0,0,0,0,0,1,0,5,1.2,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,1,0,41,169,1681,9,169,0,1.4400001,0,128.44444,1681
ID_bc1b347a1,275000,0,8,0,1,1,1,2,0,3,3,0,1,1,0,4,4,4,4,9,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23f963963,0,4,0,4,no,no,9,10.5,0,0,0,1,0,0,0,0,0,3,1.3333334,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,1,0,57,81,3249,16,0,0,1.7777779,0,110.25,3249
ID_ffa0e547e,275000,0,8,0,1,1,1,2,0,3,3,0,1,1,0,4,4,4,4,11,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23f963963,0,4,0,4,no,no,9,10.5,0,0,0,0,1,0,0,0,0,3,1.3333334,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,1,0,53,121,2809,16,0,0,1.7777779,0,110.25,2809
ID_f8771a8ae,275000,0,8,0,1,1,1,2,0,3,3,0,1,1,0,4,4,4,4,11,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23f963963,0,4,0,4,no,no,9,10.5,0,0,0,0,1,0,0,0,0,3,1.3333334,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,1,0,27,121,729,16,0,0,1.7777779,0,110.25,729
ID_801cbc30a,275000,0,8,0,1,1,1,2,0,3,3,0,1,1,0,4,4,4,4,11,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23f963963,0,4,0,4,no,no,9,10.5,0,0,0,0,1,0,0,0,0,3,1.3333334,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,1,0,35,121,1225,16,0,0,1.7777779,0,110.25,1225
ID_61e44b7cf,,0,5,0,1,1,0,,0,0,0,0,1,1,0,1,1,1,1,6,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9538b192e,0,1,1,1,8,no,6,6,0,0,1,0,0,0,0,0,0,2,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,78,36,6084,1,0,0,0.25,64,36,6084
ID_67c0283d8,275000,0,5,0,1,1,0,,0,2,2,1,2,3,1,4,5,5,5,3,,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0e00a3d3c,1,4,0,5,0.25,6,no,5.75,0,1,0,0,0,0,0,0,0,3,1.6666666,0,0,1,0,0,1,1,1,4,1,0,0,0,0,0,1,0,58,9,3364,25,36,1,2.7777777,0.0625,33.0625,3364
